		Cohort 1	Cohort 2	Cohort 3	Cohort 4	Cohort 5	Cohort 6	Cohort 7	Cohort 8	Cohort 9	Cohort 10	Cohort 11	Cohort 12	Cohort 13	Cohort 14	Cohort 15	Cohort 16	Cohort 17	Cohort 18	Cohort 19	Cohort 20	Cohort 21			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	
		Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship	Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	
																									lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02																																																																																																										
																																														lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide																																																																																																										
																																																																			aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	
																									aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated																																																																																																																															
																																														aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated																																																																																																										
Rank	Known Drug Reactions	lopinavir and ritonavir	hydroxychloroquine	chloroquine	ribavirin	methylprednisolone	peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma	darunavir	tenofovir disoproxil and emtricitabine	ruxolitinib	saquinavir	oseltamivir	tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_lopinavir and ritonavir___aggregated	Fishers Exact Test_pValue_hydroxychloroquine___aggregated	Fishers Exact Test_pValue_chloroquine___aggregated	Fishers Exact Test_pValue_ribavirin___aggregated	Fishers Exact Test_pValue_methylprednisolone___aggregated	Fishers Exact Test_pValue_peginterferon alfa-2a___aggregated	Fishers Exact Test_pValue_peginterferon alfa-2b___aggregated	Fishers Exact Test_pValue_interferon beta-1a___aggregated	Fishers Exact Test_pValue_interferon beta-1b___aggregated	Fishers Exact Test_pValue_interferon gamma___aggregated	Fishers Exact Test_pValue_darunavir___aggregated	Fishers Exact Test_pValue_tenofovir disoproxil and emtricitabine___aggregated	Fishers Exact Test_pValue_ruxolitinib___aggregated	Fishers Exact Test_pValue_saquinavir___aggregated	Fishers Exact Test_pValue_oseltamivir___aggregated	Fishers Exact Test_pValue_tocilizumab___aggregated	Fishers Exact Test_pValue_thalidomide___aggregated	Fishers Exact Test_pValue_ritonavir___aggregated	Fishers Exact Test_pValue_emtricitabine___aggregated	Fishers Exact Test_pValue_tenofovir disoproxil___aggregated	Fishers Exact Test_pValue_nitazoxanide___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_lopinavir and ritonavir___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_hydroxychloroquine___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_chloroquine___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_ribavirin___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_methylprednisolone___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_peginterferon alfa-2a___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_peginterferon alfa-2b___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_interferon beta-1a___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_interferon beta-1b___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_interferon gamma___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_darunavir___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_tenofovir disoproxil and emtricitabine___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_ruxolitinib___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_saquinavir___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_oseltamivir___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_tocilizumab___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_thalidomide___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_ritonavir___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_emtricitabine___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_tenofovir disoproxil___aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_nitazoxanide___aggregated	Absolute Counts_lopinavir and ritonavir___aggregated	Absolute Counts_hydroxychloroquine___aggregated	Absolute Counts_chloroquine___aggregated	Absolute Counts_ribavirin___aggregated	Absolute Counts_methylprednisolone___aggregated	Absolute Counts_peginterferon alfa-2a___aggregated	Absolute Counts_peginterferon alfa-2b___aggregated	Absolute Counts_interferon beta-1a___aggregated	Absolute Counts_interferon beta-1b___aggregated	Absolute Counts_interferon gamma___aggregated	Absolute Counts_darunavir___aggregated	Absolute Counts_tenofovir disoproxil and emtricitabine___aggregated	Absolute Counts_ruxolitinib___aggregated	Absolute Counts_saquinavir___aggregated	Absolute Counts_oseltamivir___aggregated	Absolute Counts_tocilizumab___aggregated	Absolute Counts_thalidomide___aggregated	Absolute Counts_ritonavir___aggregated	Absolute Counts_emtricitabine___aggregated	Absolute Counts_tenofovir disoproxil___aggregated	Absolute Counts_nitazoxanide___aggregated	Per 1000 Patients_lopinavir and ritonavir___aggregated	Per 1000 Patients_hydroxychloroquine___aggregated	Per 1000 Patients_chloroquine___aggregated	Per 1000 Patients_ribavirin___aggregated	Per 1000 Patients_methylprednisolone___aggregated	Per 1000 Patients_peginterferon alfa-2a___aggregated	Per 1000 Patients_peginterferon alfa-2b___aggregated	Per 1000 Patients_interferon beta-1a___aggregated	Per 1000 Patients_interferon beta-1b___aggregated	Per 1000 Patients_interferon gamma___aggregated	Per 1000 Patients_darunavir___aggregated	Per 1000 Patients_tenofovir disoproxil and emtricitabine___aggregated	Per 1000 Patients_ruxolitinib___aggregated	Per 1000 Patients_saquinavir___aggregated	Per 1000 Patients_oseltamivir___aggregated	Per 1000 Patients_tocilizumab___aggregated	Per 1000 Patients_thalidomide___aggregated	Per 1000 Patients_ritonavir___aggregated	Per 1000 Patients_emtricitabine___aggregated	Per 1000 Patients_tenofovir disoproxil___aggregated	Per 1000 Patients_nitazoxanide___aggregated	Relative Risk_lopinavir and ritonavir___aggregated	Relative Risk_hydroxychloroquine___aggregated	Relative Risk_chloroquine___aggregated	Relative Risk_ribavirin___aggregated	Relative Risk_methylprednisolone___aggregated	Relative Risk_peginterferon alfa-2a___aggregated	Relative Risk_peginterferon alfa-2b___aggregated	Relative Risk_interferon beta-1a___aggregated	Relative Risk_interferon beta-1b___aggregated	Relative Risk_interferon gamma___aggregated	Relative Risk_darunavir___aggregated	Relative Risk_tenofovir disoproxil and emtricitabine___aggregated	Relative Risk_ruxolitinib___aggregated	Relative Risk_saquinavir___aggregated	Relative Risk_oseltamivir___aggregated	Relative Risk_tocilizumab___aggregated	Relative Risk_thalidomide___aggregated	Relative Risk_ritonavir___aggregated	Relative Risk_emtricitabine___aggregated	Relative Risk_tenofovir disoproxil___aggregated	Relative Risk_nitazoxanide___aggregated	Safety Signal_lopinavir and ritonavir___aggregated	Safety Signal_hydroxychloroquine___aggregated	Safety Signal_chloroquine___aggregated	Safety Signal_ribavirin___aggregated	Safety Signal_methylprednisolone___aggregated	Safety Signal_peginterferon alfa-2a___aggregated	Safety Signal_peginterferon alfa-2b___aggregated	Safety Signal_interferon beta-1a___aggregated	Safety Signal_interferon beta-1b___aggregated	Safety Signal_interferon gamma___aggregated	Safety Signal_darunavir___aggregated	Safety Signal_tenofovir disoproxil and emtricitabine___aggregated	Safety Signal_ruxolitinib___aggregated	Safety Signal_saquinavir___aggregated	Safety Signal_oseltamivir___aggregated	Safety Signal_tocilizumab___aggregated	Safety Signal_thalidomide___aggregated	Safety Signal_ritonavir___aggregated	Safety Signal_emtricitabine___aggregated	Safety Signal_tenofovir disoproxil___aggregated	Safety Signal_nitazoxanide___aggregated	_lopinavir and ritonavir___aggregated	_hydroxychloroquine___aggregated	_chloroquine___aggregated	_ribavirin___aggregated	_methylprednisolone___aggregated	_peginterferon alfa-2a___aggregated	_peginterferon alfa-2b___aggregated	_interferon beta-1a___aggregated	_interferon beta-1b___aggregated	_interferon gamma___aggregated	_darunavir___aggregated	_tenofovir disoproxil and emtricitabine___aggregated	_ruxolitinib___aggregated	_saquinavir___aggregated	_oseltamivir___aggregated	_tocilizumab___aggregated	_thalidomide___aggregated	_ritonavir___aggregated	_emtricitabine___aggregated	_tenofovir disoproxil___aggregated	_nitazoxanide___aggregated	
																							Unique Patients		20,871	91,561	3,791	122,833	104,032	71,487	36,131	218,965	32,713	1,676	16,369	30,433	35,241	3,204	19,603	52,587	35,905	66,854	48,036	62,698	441	20,871	91,561	3,791	122,833	104,032	71,487	36,131	218,965	32,713	1,676	16,369	30,433	35,241	3,204	19,603	52,587	35,905	66,854	48,036	62,698	441	20,871	91,561	3,791	122,833	104,032	71,487	36,131	218,965	32,713	1,676	16,369	30,433	35,241	3,204	19,603	52,587	35,905	66,854	48,036	62,698	441	20,871	91,561	3,791	122,833	104,032	71,487	36,131	218,965	32,713	1,676	16,369	30,433	35,241	3,204	19,603	52,587	35,905	66,854	48,036	62,698	441	20,871	91,561	3,791	122,833	104,032	71,487	36,131	218,965	32,713	1,676	16,369	30,433	35,241	3,204	19,603	52,587	35,905	66,854	48,036	62,698	441	20,871	91,561	3,791	122,833	104,032	71,487	36,131	218,965	32,713	1,676	16,369	30,433	35,241	3,204	19,603	52,587	35,905	66,854	48,036	62,698	441	20,871	91,561	3,791	122,833	104,032	71,487	36,131	218,965	32,713	1,676	16,369	30,433	35,241	3,204	19,603	52,587	35,905	66,854	48,036	62,698	441	
1	13				ribavirin		peginterferon alfa-2a	peginterferon alfa-2b	interferon beta-1a	interferon beta-1b	interferon gamma				saquinavir	oseltamivir		thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	pyrexia	256,644	8.77129E-108	1.49863E-104	4.29152E-23	0.00000E00	0.00000E00	0.00000E00	0.00000E00	3.41088E-125	2.14742E-299	1.09640E-103	4.45276E-19	3.48297E-46	3.48873E-117	1.56145E-29	3.36289E-81	6.54617E-15	7.42317E-126	2.12380E-155	2.23145E-21	1.40742E-72	3.98125E-01	2.35242E-106	3.89306E-103	2.82327E-22	0.00000E00	0.00000E00	0.00000E00	0.00000E00	1.05368E-123	1.77970E-297	2.82893E-102	2.49631E-18	4.17745E-45	1.00575E-115	1.27178E-28	6.85884E-80	2.99623E-14	2.30750E-124	8.32794E-154	1.37953E-20	2.55460E-71	3.99533E-01	937	2,829	176	7,310	6,484	4,666	2,655	6,033	1,790	218	501	991	1,392	172	822	1,316	1,439	2,409	1,270	1,940	11	44.895	30.897	46.426	59.512	62.327	65.271	73.483	27.552	54.718	130.072	30.607	32.563	39.499	53.683	41.932	25.025	40.078	36.034	26.439	30.942	24.943	2.239	1.544	2.312	3.020	3.157	3.290	3.685	1.380	2.736	6.479	1.524	1.623	1.971	2.673	2.091	1.247	2.000	1.801	1.318	1.544	1.242	1.160	0.621	1.208	1.567	1.633	1.700	1.871	0.456	1.445	2.695	0.607	0.697	0.975	1.418	1.062	0.317	0.996	0.843	0.396	0.623	0.312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2	11					methylprednisolone	peginterferon alfa-2a			interferon beta-1b		darunavir			saquinavir		tocilizumab	thalidomide	ritonavir	emtricitabine	tenofovir disoproxil	nitazoxanide	alanine aminotransferase increased	56,229	1.60229E-73	1.46169E-12	3.03472E-06	2.26112E-118	9.94327E-276	3.21718E-49	4.16312E-100	3.90273E-12	2.96091E-12	6.00337E-02	2.15770E-45	3.96419E-63	1.89513E-03	3.18595E-30	6.12405E-07	2.37455E-46	7.19427E-01	2.93060E-247	7.23424E-59	8.14394E-236	7.21338E-01	2.94166E-72	5.82972E-12	7.08820E-06	6.58738E-117	7.47900E-274	4.08884E-48	1.04063E-98	1.51445E-11	1.15748E-11	6.18511E-02	2.55827E-44	6.35846E-62	2.80794E-03	2.65103E-29	1.55000E-06	2.86116E-45	7.28459E-01	1.93206E-245	1.09391E-57	5.03474E-234	7.22634E-01	313	552	39	1,155	1,395	608	492	758	235	13	221	369	195	75	136	479	153	1,030	485	973	2	14.997	6.029	10.288	9.403	13.409	8.505	13.617	3.462	7.184	7.757	13.501	12.125	5.533	23.408	6.938	9.109	4.261	15.407	10.097	15.519	4.535	3.420	1.373	2.338	2.160	3.098	1.942	3.112	0.784	1.635	1.762	3.075	2.766	1.258	5.324	1.578	2.079	0.968	3.547	2.305	3.570	1.030	1.769	0.454	1.225	1.095	1.607	0.950	1.629	-0.347	0.707	0.817	1.617	1.462	0.330	2.411	0.656	1.049	-0.047	1.807	1.198	1.818	0.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
