		Cohort 1	Cohort 2	Cohort 3	Cohort 4	Cohort 5	Cohort 6	Cohort 7	Cohort 8	Cohort 9	Cohort 10	Cohort 11	Cohort 12	Cohort 13	Cohort 14	Cohort 15	Cohort 16	Cohort 17	Cohort 18	Cohort 19	Cohort 20	Cohort 21	Cohort 22	Cohort 23	Cohort 24	Cohort 25	Cohort 26	Cohort 27			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	blood and lymphatic system disorders	cardiac disorders	congenital, familial and genetic disorders	ear and labyrinth disorders	endocrine disorders	eye disorders	gastrointestinal disorders	general disorders and administration site conditions	hepatobiliary disorders	immune system disorders	infections and infestations	injury, poisoning and procedural complications	investigations	metabolism and nutrition disorders	musculoskeletal and connective tissue disorders	neoplasms benign, malignant and unspecified (incl cysts and polyps)	nervous system disorders	pregnancy, puerperium and perinatal conditions	psychiatric disorders	renal and urinary disorders	reproductive system and breast disorders	respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders	social circumstances	surgical and medical procedures	vascular disorders	product issues	
																															blood and lymphatic system disorders	cardiac disorders	congenital, familial and genetic disorders	ear and labyrinth disorders	endocrine disorders	eye disorders	gastrointestinal disorders	general disorders and administration site conditions	hepatobiliary disorders	immune system disorders	infections and infestations	injury, poisoning and procedural complications	investigations	metabolism and nutrition disorders	musculoskeletal and connective tissue disorders	neoplasms benign, malignant and unspecified (incl cysts and polyps)	nervous system disorders	pregnancy, puerperium and perinatal conditions	psychiatric disorders	renal and urinary disorders	reproductive system and breast disorders	respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders	social circumstances	surgical and medical procedures	vascular disorders	product issues	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	
																															aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	blood and lymphatic system disorders	cardiac disorders	congenital, familial and genetic disorders	ear and labyrinth disorders	endocrine disorders	eye disorders	gastrointestinal disorders	general disorders and administration site conditions	hepatobiliary disorders	immune system disorders	infections and infestations	injury, poisoning and procedural complications	investigations	metabolism and nutrition disorders	musculoskeletal and connective tissue disorders	neoplasms benign, malignant and unspecified (incl cysts and polyps)	nervous system disorders	pregnancy, puerperium and perinatal conditions	psychiatric disorders	renal and urinary disorders	reproductive system and breast disorders	respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders	social circumstances	surgical and medical procedures	vascular disorders	product issues																												
																																																										aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated																												
Rank	Known Drug Reactions	blood and lymphatic system disorders	cardiac disorders	congenital, familial and genetic disorders	ear and labyrinth disorders	endocrine disorders	eye disorders	gastrointestinal disorders	general disorders and administration site conditions	hepatobiliary disorders	immune system disorders	infections and infestations	injury, poisoning and procedural complications	investigations	metabolism and nutrition disorders	musculoskeletal and connective tissue disorders	neoplasms benign, malignant and unspecified (incl cysts and polyps)	nervous system disorders	pregnancy, puerperium and perinatal conditions	psychiatric disorders	renal and urinary disorders	reproductive system and breast disorders	respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders	social circumstances	surgical and medical procedures	vascular disorders	product issues	Drugs	Total_Drugs_Reports	Fishers Exact Test_pValue_blood and lymphatic system disorders_aggregated	Fishers Exact Test_pValue_cardiac disorders_aggregated	Fishers Exact Test_pValue_congenital, familial and genetic disorders_aggregated	Fishers Exact Test_pValue_ear and labyrinth disorders_aggregated	Fishers Exact Test_pValue_endocrine disorders_aggregated	Fishers Exact Test_pValue_eye disorders_aggregated	Fishers Exact Test_pValue_gastrointestinal disorders_aggregated	Fishers Exact Test_pValue_general disorders and administration site conditions_aggregated	Fishers Exact Test_pValue_hepatobiliary disorders_aggregated	Fishers Exact Test_pValue_immune system disorders_aggregated	Fishers Exact Test_pValue_infections and infestations_aggregated	Fishers Exact Test_pValue_injury, poisoning and procedural complications_aggregated	Fishers Exact Test_pValue_investigations_aggregated	Fishers Exact Test_pValue_metabolism and nutrition disorders_aggregated	Fishers Exact Test_pValue_musculoskeletal and connective tissue disorders_aggregated	Fishers Exact Test_pValue_neoplasms benign, malignant and unspecified (incl cysts and polyps)_aggregated	Fishers Exact Test_pValue_nervous system disorders_aggregated	Fishers Exact Test_pValue_pregnancy, puerperium and perinatal conditions_aggregated	Fishers Exact Test_pValue_psychiatric disorders_aggregated	Fishers Exact Test_pValue_renal and urinary disorders_aggregated	Fishers Exact Test_pValue_reproductive system and breast disorders_aggregated	Fishers Exact Test_pValue_respiratory, thoracic and mediastinal disorders_aggregated	Fishers Exact Test_pValue_skin and subcutaneous tissue disorders_aggregated	Fishers Exact Test_pValue_social circumstances_aggregated	Fishers Exact Test_pValue_surgical and medical procedures_aggregated	Fishers Exact Test_pValue_vascular disorders_aggregated	Fishers Exact Test_pValue_product issues_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_blood and lymphatic system disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_cardiac disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_congenital, familial and genetic disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_ear and labyrinth disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_endocrine disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_eye disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_gastrointestinal disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_general disorders and administration site conditions_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_hepatobiliary disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_immune system disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_infections and infestations_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_injury, poisoning and procedural complications_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_investigations_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_metabolism and nutrition disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_musculoskeletal and connective tissue disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_neoplasms benign, malignant and unspecified (incl cysts and polyps)_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_nervous system disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_pregnancy, puerperium and perinatal conditions_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_psychiatric disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal and urinary disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_reproductive system and breast disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_respiratory, thoracic and mediastinal disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_skin and subcutaneous tissue disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_social circumstances_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_surgical and medical procedures_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_vascular disorders_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_product issues_aggregated	Absolute Counts_blood and lymphatic system disorders_aggregated	Absolute Counts_cardiac disorders_aggregated	Absolute Counts_congenital, familial and genetic disorders_aggregated	Absolute Counts_ear and labyrinth disorders_aggregated	Absolute Counts_endocrine disorders_aggregated	Absolute Counts_eye disorders_aggregated	Absolute Counts_gastrointestinal disorders_aggregated	Absolute Counts_general disorders and administration site conditions_aggregated	Absolute Counts_hepatobiliary disorders_aggregated	Absolute Counts_immune system disorders_aggregated	Absolute Counts_infections and infestations_aggregated	Absolute Counts_injury, poisoning and procedural complications_aggregated	Absolute Counts_investigations_aggregated	Absolute Counts_metabolism and nutrition disorders_aggregated	Absolute Counts_musculoskeletal and connective tissue disorders_aggregated	Absolute Counts_neoplasms benign, malignant and unspecified (incl cysts and polyps)_aggregated	Absolute Counts_nervous system disorders_aggregated	Absolute Counts_pregnancy, puerperium and perinatal conditions_aggregated	Absolute Counts_psychiatric disorders_aggregated	Absolute Counts_renal and urinary disorders_aggregated	Absolute Counts_reproductive system and breast disorders_aggregated	Absolute Counts_respiratory, thoracic and mediastinal disorders_aggregated	Absolute Counts_skin and subcutaneous tissue disorders_aggregated	Absolute Counts_social circumstances_aggregated	Absolute Counts_surgical and medical procedures_aggregated	Absolute Counts_vascular disorders_aggregated	Absolute Counts_product issues_aggregated	
																													Unique Patients		757,357	1,950,580	99,514	184,550	424,033	613,197	2,527,817	5,049,694	427,443	1,226,685	1,580,653	3,273,329	1,778,861	1,174,022	1,851,626	714,691	3,217,498	278,436	1,874,497	908,800	561,972	2,117,668	2,004,755	192,956	440,464	2,636,320	446,341	757,357	1,950,580	99,514	184,550	424,033	613,197	2,527,817	5,049,694	427,443	1,226,685	1,580,653	3,273,329	1,778,861	1,174,022	1,851,626	714,691	3,217,498	278,436	1,874,497	908,800	561,972	2,117,668	2,004,755	192,956	440,464	2,636,320	446,341	757,357	1,950,580	99,514	184,550	424,033	613,197	2,527,817	5,049,694	427,443	1,226,685	1,580,653	3,273,329	1,778,861	1,174,022	1,851,626	714,691	3,217,498	278,436	1,874,497	908,800	561,972	2,117,668	2,004,755	192,956	440,464	2,636,320	446,341	
1	20	blood and lymphatic system disorders	cardiac disorders			endocrine disorders	eye disorders	gastrointestinal disorders	general disorders and administration site conditions	hepatobiliary disorders	immune system disorders	infections and infestations	injury, poisoning and procedural complications	investigations	metabolism and nutrition disorders	musculoskeletal and connective tissue disorders	neoplasms benign, malignant and unspecified (incl cysts and polyps)	nervous system disorders		psychiatric disorders	renal and urinary disorders		respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders			vascular disorders		pamidronic acid	19,060	0.00000E00	0.00000E00	9.68713E-158	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	2.76177E-297	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	2.52975E-20	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	2.02917E-48	0.00000E00	0.00000E00	2.80046E-156	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	3.71767E-296	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	7.14970E-20	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	8.13412E-48	6,441	6,341	575	1,995	2,928	3,254	9,306	11,445	2,894	3,493	9,434	7,991	6,698	7,056	13,319	7,142	7,691	243	6,974	5,177	3,482	7,476	6,494	3,049	5,485	12,729	330	
2	20	blood and lymphatic system disorders	cardiac disorders	congenital, familial and genetic disorders	ear and labyrinth disorders		eye disorders	gastrointestinal disorders	general disorders and administration site conditions		immune system disorders	infections and infestations	injury, poisoning and procedural complications	investigations	metabolism and nutrition disorders	musculoskeletal and connective tissue disorders	neoplasms benign, malignant and unspecified (incl cysts and polyps)	nervous system disorders			renal and urinary disorders		respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders	social circumstances		vascular disorders		alendronic acid	123,090	0.00000E00	0.00000E00	4.52690E-96	0.00000E00	0.00000E00	0.00000E00	0.00000E00	4.65222E-96	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	6.00129E-04	0.00000E00	0.00000E00	9.33044E-95	0.00000E00	0.00000E00	0.00000E00	0.00000E00	4.32670E-95	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	9.24406E-04	17,223	29,119	1,663	6,644	11,357	12,726	45,103	52,222	7,314	21,138	34,559	53,917	29,552	33,956	65,085	19,938	41,912	896	27,039	24,775	12,094	36,171	29,186	3,857	11,037	47,336	4,082	
3	16				ear and labyrinth disorders			gastrointestinal disorders	general disorders and administration site conditions	hepatobiliary disorders	immune system disorders	infections and infestations	injury, poisoning and procedural complications		metabolism and nutrition disorders	musculoskeletal and connective tissue disorders	neoplasms benign, malignant and unspecified (incl cysts and polyps)	nervous system disorders			renal and urinary disorders	reproductive system and breast disorders	respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders			vascular disorders		chlorhexidine	14,039	0.00000E00	0.00000E00	1.49583E-128	0.00000E00	7.12278E-257	3.21779E-256	0.00000E00	1.57519E-138	1.09997E-282	0.00000E00	0.00000E00	0.00000E00	1.89000E-321	0.00000E00	0.00000E00	0.00000E00	5.78007E-153	2.71753E-01	8.60132E-243	0.00000E00	1.95604E-236	0.00000E00	0.00000E00	0.00000E00	2.20664E-311	0.00000E00	2.01786E-02	0.00000E00	0.00000E00	3.54225E-127	0.00000E00	1.44116E-255	7.38751E-255	0.00000E00	1.84787E-137	1.32565E-281	0.00000E00	0.00000E00	0.00000E00	1.96900E-320	0.00000E00	0.00000E00	0.00000E00	4.36417E-152	3.17724E-01	8.09231E-242	0.00000E00	5.06103E-235	0.00000E00	0.00000E00	0.00000E00	8.75409E-310	0.00000E00	2.73709E-02	3,223	3,953	443	1,124	1,353	1,696	5,374	7,017	1,411	3,342	5,058	5,932	3,682	3,424	3,961	2,648	4,941	325	3,571	2,884	1,561	4,675	5,446	1,191	1,492	5,349	440	
4	20	blood and lymphatic system disorders	cardiac disorders		ear and labyrinth disorders		eye disorders	gastrointestinal disorders	general disorders and administration site conditions	hepatobiliary disorders	immune system disorders	infections and infestations	injury, poisoning and procedural complications	investigations	metabolism and nutrition disorders	musculoskeletal and connective tissue disorders		nervous system disorders		psychiatric disorders			respiratory, thoracic and mediastinal disorders	skin and subcutaneous tissue disorders	social circumstances	surgical and medical procedures	vascular disorders		promethazine	54,343	0.00000E00	0.00000E00	0.00000E00	7.70343E-259	0.00000E00	1.00362E-162	0.00000E00	0.00000E00	0.00000E00	2.72424E-275	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	6.07100E-217	0.00000E00	3.73143E-197	0.00000E00	0.00000E00	2.35324E-84	0.00000E00	1.65993E-262	0.00000E00	4.47440E-145	0.00000E00	3.52648E-55	0.00000E00	0.00000E00	0.00000E00	4.17995E-257	0.00000E00	1.57998E-161	0.00000E00	0.00000E00	0.00000E00	3.40299E-274	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	7.47408E-216	0.00000E00	3.99968E-196	0.00000E00	0.00000E00	2.46905E-83	0.00000E00	2.14145E-261	0.00000E00	9.07860E-144	0.00000E00	1.52661E-54	6,802	13,841	1,519	1,912	3,746	4,065	19,645	25,913	5,342	7,806	12,416	19,107	12,869	11,667	12,827	4,858	20,072	2,334	16,435	8,666	3,374	16,589	11,585	2,322	3,058	16,805	1,269	
